"DISPATCHED","DESCRIPTION","ADDRESS","GRID","REPORT"
"04-24-2023 08:08 AM","BUILDING CHECK","700 BLOCK E HAMILTON AVE","44","171139"
"04-24-2023 08:08 AM","VEHICLE STOP/TRAFFIC","N RIVER SHORE DR / W SLIGH AVE","49","171137"
"04-24-2023 08:07 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N HIGHLAND AVE","50","171135"
"04-24-2023 08:06 AM","VEHICLE STOP/TRAFFIC","W SLIGH AVE / N RIVER BLVD","50","171133"
"04-24-2023 08:05 AM","INFORMATION","500 BLOCK N WEST SHORE BLVD","149","171111"
"04-24-2023 08:04 AM","ANIMAL NUISANCE","800 BLOCK E ZACK ST","141","171123"
"04-24-2023 08:03 AM","MENTALLY ILL PERSON","GRID ONLY","188","171076"
"04-24-2023 08:02 AM","INFORMATION","4100 BLOCK GEORGE J BEAN PKWY","88","171126"
"04-24-2023 08:01 AM","SUSPICIOUS VEHICLE","4900 BLOCK W CYPRESS ST","118","171120"
"04-24-2023 07:57 AM","PETTY THEFT","2700 BLOCK W HILLSBOROUGH AVE","66","171110"
"04-24-2023 07:57 AM","BUILDING CHECK","2400 BLOCK S HIMES AVE","170","171114"
"04-24-2023 07:56 AM","MISDEMEANOR","I275 / E 7TH AVE","126","171113"
"04-24-2023 07:55 AM","STREET OBSTRUCTION","E WATERS AVE / N HUNTLEY AVE","37","171108"
"04-24-2023 07:54 AM","AGG ASSAULT/BATTERY","11200 BLOCK N 22ND ST","6","171112"
"04-24-2023 07:51 AM","CRIMINAL MISCHIEF","3400 BLOCK N NEBRASKA AVE","96","171109"
"04-24-2023 07:48 AM","FOLLOW UP INVESTIGATION","400 BLOCK W WATERS AVE","36","171068"
"04-24-2023 07:46 AM","MENTALLY ILL PERSON","GRID ONLY","128","171106"
"04-24-2023 07:44 AM","MISDEMEANOR","3700 BLOCK MIDTOWN DR","136","171100"
"04-24-2023 07:42 AM","STOLEN VEHICLE","200 BLOCK W MOHAWK AVE","57","171051"
"04-24-2023 07:42 AM","VEHICLE STOP/TRAFFIC","N FLORIDA AVE / E BIRD ST","36","171099"
"04-24-2023 07:42 AM","VEHICLE STOP/TRAFFIC","N FLORIDA AVE / W HOLLYWOOD ST","43","171098"
"04-24-2023 07:41 AM","VEHICLE STOP/TRAFFIC","N NEBRASKA AVE / E HANNA AVE","58","171097"
"04-24-2023 07:36 AM","MISDEMEANOR","8300 BLOCK N FLORIDA AVE","37","171089"
"04-24-2023 07:35 AM","MISDEMEANOR","4200 BLOCK W MANGO AVE","196","171087"
"04-24-2023 07:34 AM","DISTURBANCE","1500 BLOCK E 7TH AVE","128","171086"
"04-24-2023 07:34 AM","NARCOTIC LAW (DRUGS)","2800 BLOCK N TALIAFERRO AVE","106","171084"
"04-24-2023 07:29 AM","DISABLED VEHICLE","E SLIGH AVE / N FLORIDA AVE","50","171074"
"04-24-2023 07:26 AM","INFORMATION","N 20TH ST / E 31ST AVE","97","171080"
"04-24-2023 07:25 AM","INFORMATION","1200 BLOCK N MARION ST","140","171079"
"04-24-2023 07:24 AM","INFORMATION","10600 BLOCK N 30TH ST","14","171078"
"04-24-2023 07:23 AM","DECEASED PERSON","3400 BLOCK E LAKE AVE","99","171065"
"04-24-2023 07:23 AM","DISTURBANCE","8300 BLOCK N 40TH ST","40","171077"
"04-24-2023 07:23 AM","GRAND THEFT","2700 BLOCK W OSBORNE AVE","66","171075"
"04-24-2023 07:20 AM","MISDEMEANOR","1500 BLOCK N DALE MABRY HWY","121","171072"
"04-24-2023 07:19 AM","BUILDING CHECK","4300 BLOCK W HILLSBOROUGH AVE","64","171073"
"04-24-2023 07:14 AM","NATURE UNKNOWN","1400 BLOCK E HILLSBOROUGH AVE","59","171054"
"04-24-2023 07:13 AM","TRAFFIC CRASH","S ARMENIA AVE / PARK CITY WAY","159","171069"
"04-24-2023 07:11 AM","VEHICLE STOP/TRAFFIC","15500 BLOCK BRUCE B DOWNS BLVD","222","171067"
"04-24-2023 07:10 AM","BUILDING CHECK","10400 BLOCK N NEBRASKA AVE","11","171066"
"04-24-2023 07:09 AM","TRAFFIC LIGHT OUT","W TAMPA BAY BLVD / N MACDILL AVE","102","171064"
"04-24-2023 07:08 AM","BUILDING CHECK","10900 BLOCK N NEBRASKA AVE","3","171063"
"04-24-2023 07:07 AM","BUILDING CHECK","9900 BLOCK N NEBRASKA AVE","20","171061"
"04-24-2023 07:06 AM","INFORMATION","4200 BLOCK N 15TH ST","83","171060"
"04-24-2023 07:06 AM","DISTURBANCE","5200 BLOCK N BOULEVARD","80","171057"
"04-24-2023 06:59 AM","VEHICLE STOP/TRAFFIC","AMBERLY DR / BRUCE B DOWNS BLVD","230","171056"
"04-24-2023 06:55 AM","DOMESTIC DISPUTE","400 BLOCK E 7TH AVE","116","171055"
"04-24-2023 06:52 AM","ABANDONED VEHICLE","5600 BLOCK N MIAMI AVE","58","171041"
"04-24-2023 06:52 AM","VEHICLE STOP/TRAFFIC","W BUSCH BLVD / N BOULEVARD","17","171053"
"04-24-2023 06:49 AM","BUILDING CHECK","1900 BLOCK N DALE MABRY HWY","121","171050"
"04-24-2023 06:49 AM","RESID/COMMERIAL ALARM","4200 BLOCK W MANGO AVE","196","171047"
"04-24-2023 06:47 AM","BURG OF A STRUCTURE","400 BLOCK W WATERS AVE","36","171048"
"04-24-2023 06:47 AM","ABANDONED VEHICLE","2700 BLOCK W DR MARTIN LUTHER KING JR BLVD","91","171038"
"04-24-2023 06:45 AM","ASSAULT/BATTERY","8700 BLOCK N 30TH ST","31","171032"
"04-24-2023 06:45 AM","DOMESTIC DISPUTE","8600 BLOCK N 22ND ST","30","171033"
"04-24-2023 06:45 AM","BUILDING CHECK","15300 BLOCK AMBERLY DR","222","171044"
"04-24-2023 06:44 AM","DOMESTIC DISPUTE","1100 BLOCK E OKALOOSA AVE","29","171029"
"04-24-2023 06:43 AM","INFORMATION","N 34TH ST / E ELLICOTT ST","74","171043"
"04-24-2023 06:40 AM","BUILDING CHECK","1500 BLOCK N DALE MABRY HWY","121","171040"
"04-24-2023 06:38 AM","INFORMATION","2000 BLOCK N DALE MABRY HWY","120","171036"
"04-24-2023 06:36 AM","BUILDING CHECK","100 BLOCK W OAK AVE","115","171037"
"04-24-2023 06:35 AM","DOMESTIC DISPUTE","700 BLOCK ORCHID AVE","19","171035"
"04-24-2023 06:33 AM","SUSPICIOUS VEHICLE","4700 BLOCK E HILLSBOROUGH AVE","75","171021"
"04-24-2023 06:31 AM","PARKING VIOLATION","W MAIN ST / N OREGON AVE","124","171017"
"04-24-2023 06:26 AM","TRAFFIC CRASH","E BROREIN ST / S FRANKLIN ST","144","171027"
"04-24-2023 06:22 AM","BUILDING CHECK","N MARION ST / E TYLER ST","140","171031"
"04-24-2023 06:19 AM","RESID/COMMERIAL ALARM","1700 BLOCK N FRANKLIN ST","115","171024"
"04-24-2023 06:19 AM","BUILDING CHECK","500 BLOCK N TAMPA ST","143","171028"
"04-24-2023 06:19 AM","INFORMATION","3900 BLOCK W GANDY BLVD","184","171026"
"04-24-2023 06:17 AM","MISDEMEANOR","1200 BLOCK N JEFFERSON ST","140","171025"
"04-24-2023 06:12 AM","NATURE UNKNOWN","3400 BLOCK N AV REPUBLICA DE CUBA","96","171018"
"04-24-2023 06:11 AM","MISDEMEANOR","1200 BLOCK N JEFFERSON ST","140","171016"
"04-24-2023 06:11 AM","BUILDING CHECK","WATER ST / CHANNELSIDE DR","145","171015"
"04-24-2023 06:07 AM","BUILDING CHECK","E JACKSON ST / N MORGAN ST","144","171014"
"04-24-2023 06:00 AM","FOLLOW UP INVESTIGATION","2500 BLOCK E HILLSBOROUGH AVE","61","171000"
"04-24-2023 05:58 AM","DISTURBANCE","5000 BLOCK E BUSCH BLVD","33","171010"
"04-24-2023 05:44 AM","TRAFFIC CRASH","ANCHOR PLAZA PKWY / INDEPENDENCE PKWY","117","171005"
"04-24-2023 05:41 AM","RESID/COMMERIAL ALARM","5100 BLOCK E FOWLER AVE","8","171009"
"04-24-2023 05:34 AM","DOMESTIC DISPUTE","4800 BLOCK S DAUPHIN AVE","185","171007"
"04-24-2023 05:27 AM","MENTALLY ILL PERSON","GRID ONLY","66","170994"
"04-24-2023 05:24 AM","MISDEMEANOR","2100 BLOCK E 13TH AVE","128","171002"
"04-24-2023 05:11 AM","DOMESTIC DISPUTE","1100 BLOCK E OKALOOSA AVE","29","170996"
